Block Structure Code,Total Block Rateable Value,Block Name,BD Code (Only issued if block contains Homeowners)
STR015862,250,AMESBURY AVENUE ,
STR015863,250,AMESBURY AVENUE ,
STR015864,250,AMESBURY AVENUE ,
STR015865,278,AMESBURY AVENUE ,
STR015866,250,AMESBURY AVENUE ,
STR015867,250,AMESBURY AVENUE ,
STR015868,262,AMESBURY AVENUE ,
STR015872,1390,BABINGTON ROAD (31-41),BD001741
STR015873,232,BABINGTON ROAD ,BD003255
STR015882,245,BARCOMBE AVENUE ,
STR015886,262,BARCOMBE AVENUE ,
STR015887,245,BARCOMBE AVENUE ,
STR015888,245,BARCOMBE AVENUE ,
STR015890,258,BARCOMBE AVENUE ,
STR015892,245,BARCOMBE AVENUE ,
STR015893,245,BARCOMBE AVENUE ,
STR015894,258,BARCOMBE AVENUE ,
STR015895,207,BARCOMBE AVENUE ,BD003257
STR015904,286,BARCOMBE AVENUE ,
STR015907,240,BARCOMBE AVENUE ,BD001946
STR015908,194,BARCOMBE AVENUE ,BD001947
STR015909,245,BARCOMBE AVENUE ,
STR015910,194,BARCOMBE AVENUE ,BD003254
STR015912,314,PATHFIELD ROAD,BD001432
STR015914,294,BOSCOMBE GARDENS BALDRY GARDENS ,
STR015915,282,BOSCOMBE GARDENS BALDRY GARDENS ,
STR015916,282,BOSCOMBE GARDENS BALDRY GARDENS ,
STR015917,294,BOSCOMBE GARDENS BALDRY GARDENS ,
STR015919,294,BOSCOMBE GARDENS BALDRY GARDENS ,
STR015920,223,BRAESIDE ROAD ,
STR015921,266,BRAESIDE ROAD,
STR015925,223,CANMORE GARDENS ,
STR015930,258,CARNFORTH ROAD ,
STR015931,240,CHURCHMORE ROAD ,
STR015933,326,CRICKLADE AVENUE ,
STR015935,310,CRICKLADE AVENUE ,
STR015938,334,CRICKLADE AVENUE ,
STR015939,232,DANBROOK ROAD ,
STR015941,132,DANBROOK ROAD ,BD002184
STR015942,254,DAYSBROOK ROAD ,
STR015943,254,DAYSBROOK ROAD ,
STR015944,254,DAYSBROOK ROAD ,
STR015945,254,DAYSBROOK ROAD ,
STR015947,254,DAYSBROOK ROAD ,
STR015948,254,DAYSBROOK ROAD ,
STR015949,306,DAYSBROOK ROAD ,
STR015953,318,ELLISON ROAD ,
STR015954,240,ELLISON ROAD ,
STR015955,240,ELLISON ROAD ,
STR015958,367,ELLISON ROAD ,
STR015959,245,ESTREHAM ROAD ,BD003320
STR015960,302,FAIRMILE AVENUE ,
STR015962,262,FARM AVENUE ,
STR015973,245,GLENEAGLE ROAD ,
STR015974,245,GLENEAGLE ROAD,
STR015975,236,GLENISTER PARK ROAD ,
STR015976,223,GRANTON ROAD ,
STR015981,236,HARBOROUGH ROAD,BD001725
STR015982,245,HARBOROUGH ROAD ,
STR015983,236,HAWKHURST ROAD,
STR015984,245,HEPWORTH ROAD ,
STR015990,338,KINGSMEAD ROAD ,
STR015991,223,LARBERT ROAD ,
STR015995,334,MAYTREE WALK ,
STR015996,286,MAYTREE WALK ,
STR015997,223,MEADFOOT ROAD ,
STR015998,305,MOUNT EARL GARDENS ,
STR015999,305,MOUNT EARL GARDENS ,
STR016000,305,MOUNT EARL GARDENS ,
STR016001,305,MOUNT EARL GARDENS ,
STR016003,194,NATAL ROAD ,
STR016008,223,RUNNYMEDE CRESCENT ,
STR016011,223,SHERWOOD AVENUE ,
STR016012,314,MADEIRA ROAD ,BD001353
STR016014,215,BARCOMBE AVENUE ,BD003250
STR016015,219,CRICKLADE AVENUE ,BD001975
STR016016,375,CONYERS ROAD,BD001772
STR016017,282,GLENEAGLE ROAD,BD003324
STR016018,236,GLENEAGLE ROAD,BD003326
STR016019,236,GLENEAGLE ROAD,BD003325
STR016020,223,HAILSHAM AVENUE ,BD003273
STR016021,144,DANBROOK ROAD ,BD001868
STR016023,266,AMESBURY AVENUE ,
STR016024,266,AMESBURY AVENUE ,
STR016026,262,AMESBURY AVENUE ,
STR016030,258,AMESBURY AVENUE ,
STR016032,266,AMESBURY AVENUE ,
STR016034,223,ABERCAIRN ROAD ,
STR016037,274,FALCON COURT ELMWORTH GROVE,BD001292
STR016047,232,ANTIGUA WALK ,BD001634
STR016048,274,ANTIGUA WALK ,BD001635
STR016049,274,ANTIGUA WALK ,
STR016050,232,ANTIGUA WALK ,
STR016051,274,ANTIGUA WALK ,
STR016052,232,ANTIGUA WALK ,
STR016053,274,ANTIGUA WALK ,
STR016054,232,ANTIGUA WALK ,
STR016055,232,ANTIGUA WALK ,
STR016056,232,ANTIGUA WALK ,
STR016057,274,ANTIGUA WALK ,
STR016058,302,ANTIGUA WALK ,
STR016074,338,BATTENBURG WALK ,
STR016076,338,BATTENBURG WALK ,
STR016077,338,BATTENBURG WALK ,
STR016078,338,BATTENBURG WALK ,BD001500
STR016079,157,BERRIDGE ROAD ,
STR016080,157,BERRIDGE ROAD ,
STR016082,157,BERRIDGE ROAD ,
STR016083,157,BERRIDGE ROAD ,
STR016084,157,BERRIDGE ROAD ,
STR016085,157,BERRIDGE ROAD ,
STR016086,157,BERRIDGE ROAD ,
STR016088,310,BERRIDGE ROAD ,
STR016089,310,BERRIDGE ROAD ,
STR016090,310,BERRIDGE ROAD ,
STR016091,310,BERRIDGE ROAD ,
STR016092,310,BERRIDGE ROAD ,
STR016093,310,BERRIDGE ROAD ,
STR016094,310,BERRIDGE ROAD ,
STR016095,310,BERRIDGE ROAD ,
STR016096,302,BERRIDGE ROAD ,
STR016097,310,BERRIDGE ROAD ,
STR016098,310,BERRIDGE ROAD ,
STR016101,347,BERRY LANE ,
STR016103,182,BLOOMHALL ROAD ,
STR016104,182,BLOOMHALL ROAD ,
STR016105,182,BLOOMHALL ROAD ,
STR016107,182,BLOOMHALL ROAD ,
STR016108,182,BLOOMHALL ROAD ,
STR016110,182,BLOOMHALL ROAD ,
STR016111,182,BLOOMHALL ROAD ,
STR016117,182,BLOOMHALL ROAD ,
STR016119,182,BLOOMHALL ROAD ,
STR016121,182,BLOOMHALL ROAD ,
STR016123,182,BLOOMHALL ROAD ,
STR016124,182,BLOOMHALL ROAD ,
STR016127,182,BLOOMHALL ROAD ,
STR016131,182,BLOOMHALL ROAD ,
STR016132,182,BLOOMHALL ROAD ,
STR016133,182,BLOOMHALL ROAD ,
STR016136,182,BLOOMHALL ROAD ,
STR016138,182,BLOOMHALL ROAD ,
STR016140,338,BRABOURNE CLOSE,BD003469
STR016141,338,BRABOURNE CLOSE,
STR016142,290,BRABOURNE CLOSE,
STR016143,290,BRABOURNE CLOSE,
STR016144,290,BRABOURNE CLOSE,
STR016145,290,BRABOURNE CLOSE,
STR016146,274,BRIDGETOWN CLOSE ,BD001660
STR016147,274,BRIDGETOWN CLOSE ,
STR016148,274,BRIDGETOWN CLOSE ,
STR016149,274,BRIDGETOWN CLOSE ,
STR016150,232,BRIDGETOWN CLOSE ,
STR016151,232,BRIDGETOWN CLOSE ,BD001661
STR016152,274,BRIDGETOWN CLOSE ,
STR016153,274,BRIDGETOWN CLOSE ,
STR016155,274,BRISTOW ROAD ,
STR016158,310,BRISTOW ROAD ,
STR016159,326,BRISTOW ROAD ,
STR016160,232,BRISTOW ROAD ,
STR016161,232,BRISTOW ROAD ,
STR016162,310,BRISTOW ROAD ,
STR016164,318,BRISTOW ROAD ,
STR016166,318,BRISTOW ROAD ,
STR016167,290,BURMA TERRACE ,
STR016168,290,BURMA TERRACE ,BD001502
STR016169,290,BURMA TERRACE ,
STR016170,290,BURMA TERRACE ,BD001503
STR016171,290,BURMA TERRACE ,BD001504
STR016172,262,BURTWELL LANE ,
STR016173,322,BURTWELL LANE ,
STR016174,245,BURTWELL LANE ,
STR016178,207,CAWNPORE STREET ,
STR016180,215,CENTRAL HILL ,
STR016183,215,CENTRAL HILL ,
STR016187,215,CENTRAL HILL ,
STR016192,182,CENTRAL HILL ,
STR016195,215,CENTRAL HILL ,
STR016196,215,CENTRAL HILL ,
STR016198,182,CENTRAL HILL ,
STR016201,245,CHALFORD ROAD ,
STR016202,245,CHALFORD ROAD ,
STR016203,245,CHALFORD ROAD ,
STR016204,245,CLIVE ROAD ,
STR016206,161,CLIVE ROAD ,
STR016208,215,CLIVE ROAD ,
STR016209,182,CLIVE ROAD ,
STR016213,240,CROXTED ROAD ,
STR016214,240,CROXTED ROAD ,
STR016215,240,CROXTED ROAD ,BD001286
STR016216,240,CROXTED ROAD ,
STR016217,182,DURNING ROAD ,
STR016218,182,DURNING ROAD ,
STR016219,182,DURNING ROAD ,
STR016222,182,DURNING ROAD ,
STR016224,182,DURNING ROAD ,
STR016225,182,DURNING ROAD ,
STR016228,182,DURNING ROAD ,
STR016229,182,DURNING ROAD ,
STR016230,182,DURNING ROAD ,
STR016234,182,DURNING ROAD ,
STR016235,282,CENTRAL HILL,BD001464
STR016236,250,CENTRAL HILL,
STR016237,250,CENTRAL HILL,BD001464
STR016238,250,CENTRAL HILL,
STR016239,194,ST GOTHARD ROAD ,
STR016240,198,ST GOTHARD ROAD ,
STR016242,182,DURNING ROAD ,
STR016243,182,DURNING ROAD ,BD003673
STR016244,182,DURNING ROAD ,
STR016247,182,DURNING ROAD ,
STR016249,182,DURNING ROAD ,
STR016251,232,ELDER ROAD ,
STR016252,232,ELDER ROAD ,
STR016253,232,ELDER ROAD ,
STR016256,250,ELMWORTH GROVE ,
STR016258,250,ELMWORTH GROVE ,
STR016260,248,ELMWORTH GROVE ,BD001297
STR016263,240,ELMWORTH GROVE ,BD001298
STR016266,240,ELMWORTH GROVE ,
STR016267,274,ELMWORTH GROVE ,
STR016272,254,FINCH AVENUE,
STR016273,254,FINCH AVENUE,
STR016277,372,HAMILTON ROAD ,
STR016278,302,HAMILTON ROAD ,
STR016279,182,HAMILTON ROAD ,
STR016283,232,GEORGETOWN CLOSE ,
STR016284,232,GEORGETOWN CLOSE ,
STR016285,232,GEORGETOWN CLOSE ,BD001664
STR016286,232,GEORGETOWN CLOSE ,BD001665
STR016287,274,GEORGETOWN CLOSE ,
STR016288,274,GEORGETOWN CLOSE ,
STR016289,274,GEORGETOWN CLOSE ,BD001666
STR016290,274,GEORGETOWN CLOSE ,
STR016291,274,GEORGETOWN CLOSE ,BD001667
STR016293,232,GEORGETOWN CLOSE ,
STR016294,182,GIBBS AVENUE ,
STR016296,182,GIBBS AVENUE ,
STR016298,182,GIBBS AVENUE ,
STR016299,182,GIBBS AVENUE ,
STR016305,182,GIBBS CLOSE ,
STR016306,182,GIBBS CLOSE ,
STR016307,182,GIBBS CLOSE ,
STR016309,182,GIBBS CLOSE ,
STR016310,182,GIBBS CLOSE ,
STR016315,232,GIPSY ROAD GARDENS ,
STR016316,232,GIPSY ROAD GARDENS ,
STR016318,123,GLADSTONE TERRACE ,
STR016319,123,GLADSTONE TERRACE ,
STR016320,123,GLADSTONE TERRACE ,
STR016321,123,GLADSTONE TERRACE ,BD001848
STR016322,123,GLADSTONE TERRACE ,
STR016323,123,GLADSTONE TERRACE ,
STR016324,123,GLADSTONE TERRACE ,
STR016325,123,GLADSTONE TERRACE ,
STR016326,123,GLADSTONE TERRACE ,
STR016327,123,GLADSTONE TERRACE ,
STR016328,123,GLADSTONE TERRACE ,
STR016329,123,GLADSTONE TERRACE ,
STR016330,123,GLADSTONE TERRACE ,BD001849
STR016331,173,HAMILTON ROAD ,
STR016333,207,HAMILTON ROAD ,
STR016334,245,HAMILTON ROAD ,
STR016336,132,HAMILTON ROAD ,
STR016342,367,HAMILTON ROAD ,
STR016347,298,HAMILTON ROAD ,
STR016348,266,HIGHLAND ROAD ,
STR016349,266,HIGHLAND ROAD ,BD001460
STR016350,266,HIGHLAND ROAD ,BD001460
STR016351,266,HIGHLAND ROAD ,
STR016352,266,HIGHLAND ROAD ,
STR016353,266,HIGHLAND ROAD ,
STR016354,266,HIGHLAND ROAD ,BD001387
STR016355,266,HIGHLAND ROAD ,BD001387
STR016356,250,HIGHLAND ROAD ,
STR016357,266,HIGHLAND ROAD ,
STR016359,266,HIGHLAND ROAD ,
STR016360,266,HIGHLAND ROAD ,
STR016361,250,HIGHLAND ROAD ,BD001461
STR016362,250,HIGHLAND ROAD ,
STR016363,250,HIGHLAND ROAD ,
STR016364,250,HIGHLAND ROAD ,
STR016365,250,HIGHLAND ROAD ,BD001462
STR016366,266,HIGHLAND ROAD ,BD001462
STR016367,266,HIGHLAND ROAD ,
STR016368,232,KINGSTON SQUARE ,
STR016369,274,KINGSTON SQUARE ,
STR016370,274,KINGSTON SQUARE ,
STR016371,232,KINGSTON SQUARE ,
STR016372,232,KINGSTON SQUARE ,
STR016373,232,KINGSTON SQUARE ,BD001637
STR016374,274,KINGSTON SQUARE ,BD001640
STR016375,274,KINGSTON SQUARE ,
STR016376,232,KINGSTON SQUARE ,BD001641
STR016377,232,KINGSTON SQUARE ,
STR016378,274,KINGSTON SQUARE ,BD001643
STR016380,274,KINGSTON SQUARE ,BD001644
STR016381,274,KINGSTON SQUARE ,BD001645
STR016382,232,KINGSTON SQUARE ,
STR016383,232,MONTSERRAT CLOSE,BD001632
STR016384,274,MONTSERRAT CLOSE,
STR016385,274,MONTSERRAT CLOSE,
STR016386,290,MOUNTBATTEN CLOSE ,BD001505
STR016387,290,MOUNTBATTEN CLOSE ,
STR016388,290,MOUNTBATTEN CLOSE ,
STR016390,290,MOUNTBATTEN CLOSE ,
STR016391,338,MOUNTBATTEN CLOSE ,BD001506
STR016392,338,MOUNTBATTEN CLOSE ,
STR016393,338,MOUNTBATTEN CLOSE ,
STR016394,290,MOUNTBATTEN CLOSE ,
STR016395,290,MOUNTBATTEN CLOSE ,
STR016396,338,MOUNTBATTEN CLOSE ,
STR016397,338,MOUNTBATTEN CLOSE ,BD001508
STR016398,338,MOUNTBATTEN CLOSE ,
STR016399,338,MOUNTBATTEN CLOSE ,
STR016400,338,MOUNTBATTEN CLOSE ,
STR016401,338,MOUNTBATTEN CLOSE ,
STR016402,338,MOUNTBATTEN CLOSE ,
STR016403,338,MOUNTBATTEN CLOSE ,
STR016405,338,MOUNTBATTEN CLOSE ,
STR016406,342,NELLO JAMES GARDENS ,
STR016407,342,NELLO JAMES GARDENS ,
STR016408,342,NELLO JAMES GARDENS ,
STR016409,266,NELLO JAMES GARDENS ,
STR016411,290,NORWOOD PARK ROAD ,
STR016460,182,ROMAN RISE ,
STR016467,207,ROMMANY ROAD ,
STR016469,211,ROMMANY ROAD ,
STR016470,132,ROMMANY ROAD ,
STR016471,119,ROMMANY ROAD ,
STR016473,119,ROMMANY ROAD ,
STR016474,119,ROMMANY ROAD ,
STR016476,190,ROMMANY ROAD ,
STR016478,173,ROMMANY ROAD ,
STR016479,173,ROMMANY ROAD ,
STR016480,173,ROMMANY ROAD ,
STR016486,169,ROMMANY ROAD ,
STR016488,334,ROMMANY ROAD ,
STR016496,182,SALTERS HILL,
STR016497,215,SALTERS HILL,
STR016498,215,SALTERS HILL,
STR016499,182,SALTERS HILL,
STR016502,215,SALTERS HILL,
STR016508,274,SALTERS HILL,
STR016509,274,SALTERS HILL,
STR016510,274,SALTERS HILL,
STR016511,232,SALTERS HILL,
STR016512,274,SALTERS HILL,
STR016513,274,SALTERS HILL,
STR016514,232,SALTERS HILL,
STR016515,274,SALTERS HILL,
STR016516,232,SALTERS HILL,
STR016517,274,SALTERS HILL,
STR016518,274,SALTERS HILL,
STR016521,245,ST CLOUD ROAD,
STR016522,245,ST CLOUD ROAD,
STR016525,211,ST CLOUD ROAD,
STR016526,211,ST CLOUD ROAD,
STR016529,250,ST DENIS ROAD ,
STR016530,250,ST DENIS ROAD ,
STR016531,250,ST DENIS ROAD ,
STR016533,250,ST GOTHARD ROAD ,
STR016536,182,ST GOTHARD ROAD ,
STR016540,245,ST GOTHARD ROAD ,
STR016541,245,ST GOTHARD ROAD ,
STR016542,236,ST KITTS TERRACE ,
STR016543,236,ST KITTS TERRACE ,
STR016544,236,ST KITTS TERRACE ,
STR016545,236,ST KITTS TERRACE ,
STR016546,236,ST KITTS TERRACE ,BD001651
STR016547,236,ST KITTS TERRACE ,
STR016548,236,ST KITTS TERRACE ,
STR016550,140,ST LOUIS ROAD ,
STR016551,148,ST LOUIS ROAD ,
STR016554,250,ST LOUIS ROAD ,
STR016556,282,VICARS OAK ROAD ,
STR016557,282,VICARS OAK ROAD ,
STR016558,282,VICARS OAK ROAD ,
STR016559,266,VICARS OAK ROAD ,
STR016560,266,VICARS OAK ROAD ,BD001387
STR016561,266,VICARS OAK ROAD ,BD001388
STR016562,266,VICARS OAK ROAD ,
STR016563,250,VICARS OAK ROAD ,
STR016564,250,VICARS OAK ROAD ,
STR016566,182,WHITELEY ROAD ,
STR016567,182,WHITELEY ROAD ,
STR016571,302,CHATSWORTH WAY,BD003290
STR016573,274,ANTIGUA WALK ,
STR016574,236,ST KITTS TERRACE ,
STR016575,236,ST KITTS TERRACE ,
STR016576,236,ST KITTS TERRACE ,
STR016626,375,SUDBOURNE ROAD,BD002461
STR016629,409,IRETON HOUSE ,
STR016630,409,IRETON HOUSE ,BD003393
STR016631,363,CROWHURST CLOSE ,
STR016635,245,BARRINGTON ROAD ,
STR016636,245,BARRINGTON ROAD ,
STR016637,245,BARRINGTON ROAD ,
STR016640,245,BARRINGTON ROAD ,
STR016645,245,STYLES GARDENS ,
STR016649,245,SWINFORD GARDENS ,
STR016650,245,SWINFORD GARDENS ,BD000502
STR016651,245,SWINFORD GARDENS ,
STR016653,245,SWINFORD GARDENS ,
STR016654,245,SWINFORD GARDENS ,BD000503
STR016655,245,SWINFORD GARDENS ,
STR016656,245,SWINFORD GARDENS ,
STR016657,245,SWINFORD GARDENS ,
STR016658,245,SWINFORD GARDENS ,
STR016660,245,SWINFORD GARDENS ,
STR016661,245,SWINFORD GARDENS ,BD000504
STR016662,245,SWINFORD GARDENS ,
STR016663,245,SWINFORD GARDENS ,
STR016665,245,SWINFORD GARDENS ,
STR016666,245,SWINFORD GARDENS ,
STR016667,245,SWINFORD GARDENS ,
STR016668,245,SWINFORD GARDENS ,
STR016669,245,SWINFORD GARDENS ,BD000506
STR016671,245,SWINFORD GARDENS ,BD000507
STR016672,245,SWINFORD GARDENS ,
STR016674,245,SWINFORD GARDENS ,BD000508
STR016675,245,SWINFORD GARDENS ,
STR016677,245,SWINFORD GARDENS ,
STR016768,278,BROCKHAM DRIVE ,
STR016769,278,BROCKHAM DRIVE,BD001583
STR016771,278,BROCKHAM DRIVE ,
STR016772,298,CEDARS ROAD ,BD000396
STR016784,389,BONHAM ROAD,BD003266
STR016785,363,BONHAM ROAD,
STR016786,423,BONHAM ROAD,BD002757
STR016787,537,BONHAM ROAD,BD002758
STR016788,372,BRANKSOME ROAD ,BD003470
STR016789,182,WINSLADE ROAD ,
STR016790,461,LAMBERT ROAD 37 A-C,BD002457
STR016791,317,LAMBERT ROAD 81-83,BD002763
STR016793,152,LAMBERT ROAD 39 FLATS A-C,BD002765
STR016794,778,LAMBERT ROAD 41 A-E,BD002766
STR016795,186,LAMBERT ROAD,
STR016796,169,LAMBERT ROAD,BD003206
STR016797,380,HORSFORD ROAD ,BD002458
STR016798,398,HORSFORD ROAD ,
STR016799,524,SUDBOURNE ROAD ,BD002462
STR016800,452,HAYTER ROAD ,BD002525
STR016801,279,STRATHLEVEN ROA,BD002627
STR016803,422,LYHAM ROAD ,BD002411
STR016804,422,LYHAM ROAD ,BD002410
STR016805,422,LYHAM ROAD ,
STR016806,219,CLAUDIA JONES WAY ,
STR016807,223,LYHAM ROAD ,
STR016808,223,LYHAM ROAD ,
STR016809,223,LYHAM ROAD ,
STR016810,223,LYHAM ROAD ,BD002398
STR016811,173,LYHAM ROAD ,
STR016813,161,LYHAM ROAD ,BD002453
STR016814,173,LYHAM ROAD ,
STR016815,266,LYHAM ROAD ,
STR016816,302,LYHAM ROAD ,BD002231
STR016817,302,LYHAM ROAD ,
STR016818,302,LYHAM ROAD ,BD002231
STR016819,302,LYHAM ROAD ,
STR016820,266,LYHAM ROAD ,BD002232
STR016821,302,LYHAM ROAD ,BD002232
STR016822,302,LYHAM ROAD ,BD002232
STR016823,302,LYHAM ROAD ,BD002232
STR016824,302,LYHAM ROAD ,
STR016825,409,AKERMAN ROAD ,
STR016826,355,AKERMAN ROAD ,
STR016827,355,AKERMAN ROAD ,BD000822
STR016828,355,AKERMAN ROAD ,BD003262
STR016829,355,AKERMAN ROAD ,BD000823
STR016830,371,AKERMAN ROAD ,BD000995
STR016831,371,AKERMAN ROAD ,
STR016832,384,AKERMAN ROAD ,BD003261
STR016833,399,BURTON ROAD ,BD0003588
STR016835,405,BURTON RD,BD001004
STR016836,414,LOUGHBOROUGH ROAD,BD003424
STR016837,430,LOUGHBOROUGH ROAD,
STR016838,372,MINET ROAD,BD001131
STR016839,372,MINET ROAD,BD001132
STR016840,372,MINET ROAD,
STR016841,372,MINET ROAD,BD001133
STR016842,372,MINET ROAD,
STR016843,372,MINET ROAD,BD001134
STR016844,524,LOUGHBOROUGH ROAD ,
STR016845,173,LOUGHBOROUGH ROAD ,BD000828
STR016846,173,LOUGHBOROUGH ROAD ,
STR016866,334,BEDFORD ROAD ,BD002384
STR016867,334,BEDFORD ROAD ,
STR016868,326,BEDFORD ROAD ,BD003538
STR016870,334,BOWLANDS ROAD ,
STR016871,326,BOWLANDS ROAD ,
STR016872,334,BOWLANDS ROAD ,
STR016873,367,BOWLANDS ROAD ,BD002355
STR016874,236,BRITANNIA CLOSE ,
STR016875,334,BRITANNIA CLOSE ,
STR016876,334,BRITANNIA CLOSE ,
STR016877,334,BRITANNIA CLOSE ,
STR016878,334,BRITANNIA CLOSE ,
STR016879,334,BRITANNIA CLOSE ,
STR016880,347,BRITANNIA CLOSE ,
STR016881,326,BRITANNIA CLOSE ,BD002356
STR016882,326,BRITANNIA CLOSE ,
STR016883,326,BRITANNIA CLOSE ,
STR016884,326,BRITANNIA CLOSE ,BD002359
STR016885,380,BRITANNIA CLOSE ,
STR016886,338,BRITANNIA CLOSE ,BD002360
STR016887,367,BRITANNIA CLOSE ,
STR016888,250,CHIP STREET ,
STR016889,250,CHIP STREET ,
STR016890,250,CHIP STREET ,
STR016891,250,CHIP STREET ,
STR016892,250,CHIP STREET ,
STR016893,338,CLAPHAM CRESCENT ,
STR016894,334,CLAPHAM CRESCENT ,
STR016896,434,CLAPHAM MANOR STREET ,BD003293
STR016897,161,CLAPHAM MANOR STREET ,
STR016898,207,CLAPHAM MANOR STREET ,BD003557
STR016899,207,CLAPHAM MANOR STREET ,
STR016900,161,CLAPHAM MANOR STREET ,
STR016901,161,CLAPHAM MANOR STREET ,
STR016902,372,CLAPHAM MANOR STREET ,
STR016903,334,CLAPHAM MANOR STREET ,BD000080
STR016904,334,CLAPHAM MANOR STREET ,
STR016905,372,CLAPHAM MANOR STREET ,
STR016906,334,CLAPHAM MANOR STREET ,
STR016907,334,CLAPHAM MANOR STREET ,
STR016908,334,CLAPHAM MANOR STREET ,
STR016909,258,COTTAGE GROVE ,
STR016910,258,COTTAGE GROVE ,
STR016911,258,COTTAGE GROVE ,
STR016912,258,COTTAGE GROVE ,
STR016913,250,CRESSET STREET ,
STR016914,227,CRESSET STREET ,BD000040
STR016915,286,CRESSET STREET ,
STR016916,254,CRESSET STREET ,
STR016917,254,CRESSET STREET ,
STR016918,254,CRESSET STREET ,
STR016919,152,CUBITT TERRACE ,
STR016920,161,CUBITT TERRACE ,
STR016921,144,CUBITT TERRACE ,
STR016922,152,CUBITT TERRACE ,
STR016923,250,CUBITT TERRACE ,BD000075
STR016924,250,CUBITT TERRACE ,BD000076
STR016925,326,FELMERSHAM CLOSE ,
STR016926,367,FELMERSHAM CLOSE ,
STR016927,334,FELMERSHAM CLOSE ,
STR016928,367,FELMERSHAM CLOSE ,
STR016929,182,FELMERSHAM CLOSE ,BD002190
STR016930,182,FELMERSHAM CLOSE ,
STR016931,182,FELMERSHAM CLOSE ,BD003526
STR016932,326,HASELRIGGE ROAD ,
STR016933,334,HASELRIGGE ROAD ,
STR016934,334,HASELRIGGE ROAD ,BD002385
STR016935,326,HASELRIGGE ROAD ,
STR016936,326,HASELRIGGE ROAD ,
STR016937,334,HASELRIGGE ROAD ,
STR016938,282,HASELRIGGE ROAD ,
STR016939,367,HASELRIGGE ROAD ,
STR016940,334,HASELRIGGE ROAD ,
STR016941,367,HASELRIGGE ROAD ,
STR016942,326,HASELRIGGE ROAD ,
STR016943,334,HASELRIGGE ROAD ,
STR016944,334,HASELRIGGE ROAD ,
STR016945,290,HICKMORE WALK ,
STR016947,278,HICKMORE WALK ,
STR016948,278,HICKMORE WALK ,
STR016949,278,HICKMORE WALK ,BD000084
STR016950,278,HICKMORE WALK ,
STR016951,278,HICKMORE WALK ,
STR016952,266,HICKMORE WALK ,
STR016953,286,HICKMORE WALK ,
STR016954,266,HICKMORE WALK ,
STR016955,266,HICKMORE WALK ,
STR016956,186,HUBERT GROVE ,
STR016957,227,HUBERT GROVE ,
STR016958,211,HUBERT GROVE ,
STR016959,207,HUBERT GROVE ,
STR016960,227,HUBERT GROVE ,
STR016961,186,NELSONS ROW,
STR016963,326,RIGGE PLACE ,
STR016964,334,RIGGE PLACE ,
STR016965,326,RIGGE PLACE ,
STR016966,245,SANDMERE ROAD ,
STR016967,245,SANDMERE ROAD ,
STR016968,286,SOLON NEW ROAD ,
STR016969,286,SOLON NEW ROAD ,
STR016970,286,SOLON NEW ROAD ,
STR016971,286,SOLON NEW ROAD ,
STR016972,286,SOLON NEW ROAD ,
STR016973,223,STONHOUSE STREET ,BD000072
STR016974,294,STONHOUSE STREET ,
STR016975,294,STONHOUSE STREET ,
STR016976,294,STONHOUSE STREET ,
STR016977,294,STONHOUSE STREET ,
STR016978,211,TASMAN ROAD ,
STR016979,236,WRIGHTS GREEN ,
STR016980,326,WRIGHTS GREEN ,
STR016981,326,WRIGHTS GREEN ,
STR016982,236,WRIGHTS GREEN ,
STR016983,326,WRIGHTS GREEN ,
STR016984,334,WRIGHTS GREEN ,
STR016985,326,WRIGHTS GREEN ,
STR016986,282,WRIGHTS GREEN ,
STR016987,326,WRIGHTS GREEN ,
STR016988,254,HICKMORE WALK ,
STR016989,254,HICKMORE WALK ,BD000087
STR016990,282,HUBERT GROVE ,
STR016991,254,HUBERT GROVE ,
STR016992,338,CLAPHAM CRESCENT ,
STR016993,266,CLAPHAM CRESCENT ,
STR016994,347,ST ALPHONSUS ROAD ,
STR016995,326,RAILTON ROAD ,
STR016997,157,WELLFIELD ROAD ,
STR016998,417,PATHFIELD ROAD ,
STR017001,322,PECKFORD PLACE ,
STR017002,322,PECKFORD PLACE ,
STR017003,322,PECKFORD PLACE ,
STR017004,322,PECKFORD PLACE ,
STR017005,388,PECKFORD PLACE ,BD003398
STR017006,316,WILTSHIRE ROAD ,
STR017007,320,WILTSHIRE ROAD,
STR017010,207,BRIXTON ROAD ,
STR017011,417,CAMBERWELL NEW ROAD ,
STR017012,413,CAMBERWELL NEW ROAD ,
STR017013,402,CAMBERWELL NEW ROAD ,
STR017014,478,CAMBERWELL NEW ROAD ,BD001109
STR017015,390,CAMBERWELL NEW ROAD ,BD001111
STR017016,390,CAMBERWELL NEW ROAD ,BD001112
STR017017,449,CAMBERWELL NEW ROAD ,
STR017018,397,CAMBERWELL NEW ROAD ,
STR017019,413,CAMBERWELL NEW ROAD ,BD001116
STR017020,405,CAMBERWELL NEW ROAD ,
STR017021,559,CAMBERWELL NEW ROAD ,BD001117
STR017022,396,CAMBERWELL NEW ROAD ,
STR017023,408,CAMBERWELL NEW ROAD ,
STR017024,604,BRIXTON ROAD ,BD003268
STR017025,574,FOXLEY ROAD 23 A-D,BD001030
STR017026,568,FOXLEY ROAD 25 A-D,BD001031
STR017027,568,FOXLEY ROAD ,
STR017028,704,FOXLEY ROAD 29 A-E,BD001032
